feature,coefficient
maj_Economics,0.8047204040191683
maj_Music,0.8047204040191606
maj_Domestic Science,0.8047204040191568
maj_Home Economics,0.7966232380272582
maj_General and Domestic Science,0.75472040401916
maj_Science,0.44839856493870245
maj_General Science,0.30472040401915873
maj_Industrial Science,0.30472040401915856
maj_,0.1380537373524923
maj_Agricultural Education,-0.15527959598084318
maj_Horticulture,-0.1682525689538128
maj_Dairy,-0.18078684235765075
maj_Electrical Engineering,-0.1866959049937141
maj_Animal Husbandry,-0.18754763721795406
maj_Veterinary,-0.1881367388379822
maj_Agronomy,-0.18910675647466804
maj_Mechanical & Electrical Engineering,-0.19527959598082628
maj_Horticulture and Forestry,-0.19527959598083247
maj_Civil Engineering,-0.19527959598083855
maj_Veterinary and Animal Husbandry,-0.1952795959808386
maj_Mining Engineering,-0.19527959598083885
maj_Agricultural Engineering,-0.19527959598083888
maj_Colonials,-0.19527959598083897
maj_Forestry,-0.19527959598083908
maj_Dairy Husbandry,-0.19527959598083952
maj_Industrial Chemistry,-0.19527959598083963
maj_Science and Agronomy,-0.19527959598083974
maj_Special,-0.19527959598084005
maj_Veterinary Medicine,-0.1952795959808401
maj_Chemistry,-0.19527959598084021
maj_Str. Des,-0.19527959598084038
maj_Dairy Husbandry-Animal Husbandry,-0.19527959598084096
maj_Mechanical Engineering,-0.19527959598084144
maj_Chemistry Engineering,-0.19527959598084146
maj_Ceramics,-0.1952795959808418
maj_Animal Husbandry and Agricultural Education,-0.19527959598084826
