word,coefficient
calm,0.4037190433397341
nice,0.3880279930986412
clever,0.3434034236110152
merry,0.33196911291031717
partial,0.3267472853023505
generous,0.3225001996202214
lovable,0.3200577409134925
democratic,0.30595900281491595
kind,0.2342263007921625
glad,0.22613177989206398
willing,0.2240859606904649
sweet,0.22246434723863281
dependable,0.21373024349579342
winsome,0.21315401627344274
steadfast,0.2000896584959992
wild,0.19219945444634498
interested,0.17362886097371544
blue,0.16340257085286208
domestic,0.16052269108925257
beautiful,0.15984753158237586
conscientious,0.1498860666288655
unselfish,0.13136739960671553
gentle,0.11479117535303164
modest,0.10311298918181624
faithful,0.10059418173866111
competent,0.10014939864755243
fair,0.0995255521659165
pleasant,0.09432619234359724
live,0.08367080627326975
earnest,0.07532627912177087
always,0.07120479182051102
even,0.06770608586016556
excellent,0.06388973679117246
proud,0.06312809374226655
fond,0.05574106195732816
full,0.05482555855157263
worth,0.05172539065632111
true,0.04692444681573637
all,0.039604077725521866
sincere,0.03826110658373932
industrious,0.03608693457006241
happy,0.03483681239601705
loyal,0.034831586399059936
daily,0.032297791673112156
only,0.03190243829994249
own,0.027639076422343308
brave,0.02726152200841193
worst,0.02715316140658438
little,0.02156372298207673
too,0.01963600256648968
particular,0.018800644748108535
very,0.018536284021595593
pretty,0.01789663137131673
cheerful,0.01620044293834442
jolly,0.01442662579593511
quite,0.0074497410005547465
often,0.006775855106005602
junior,0.004013491617763489
other,0.0016986912886741258
best,0.001419427860160764
brilliant,0.0003934074735542058
interesting,0.00014589776100346915
here,-2.597059263761152e-05
few,-0.0002820964880484562
red,-0.001627971891686777
clear,-0.0022708068825721124
rather,-0.0026428900880028244
doubt,-0.0026448314126450447
many,-0.003105516253757639
frequently,-0.005576587766263179
back,-0.005788903606031976
mechanical,-0.007731099121169407
hardly,-0.00845547146707163
still,-0.008887952687605899
inclined,-0.01049054469772154
most,-0.010864820000044515
quiet,-0.013426627745575874
better,-0.013493548131131268
next,-0.013800556098069914
good,-0.018959457731591304
serious,-0.019167349857336678
deep,-0.02050322164357209
chief,-0.02064540549345808
out,-0.022192117113878106
famous,-0.0226620642296052
early,-0.023626418025175074
long,-0.024700705720953856
close,-0.024802968164904002
now,-0.026154409112953518
fast,-0.029518003921912284
athletic,-0.03025133705155045
then,-0.03511652854670841
generally,-0.03587056541143041
yet,-0.04144425545130175
able,-0.04233801431445333
down,-0.0426112117067653
general,-0.04544013775185701
well,-0.04659158820398527
away,-0.04818371435311277
right,-0.04895621238308969
great,-0.05007010685931042
hot,-0.05150281794343334
also,-0.05813314575446803
enough,-0.05816321624287547
rough,-0.0601141785168541
practical,-0.06467233212888389
hard,-0.06785588704181297
there,-0.07281075503651349
late,-0.07455784382324697
much,-0.07475035161135586
same,-0.0823044229594278
again,-0.09035553056246287
big,-0.09498895699970317
